"id","week_minus4","week_minus3","week_minus2","week_minus1","week_0","week_1","week_2","week_3","week_4","week_5","week_6","week_7","week_8","week_9","week_10","week_11","week_12","week_13","week_14","week_15","week_16","week_17","week_18","week_19","week_20","week_21","week_22","week_23","week_24","week_25","week_26","week_27","week_28","week_29","week_30","week_31","week_32","week_33","week_34","week_35","week_36","week_37"
33681,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34087,0,0,40,19,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,6,5,3,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0
51955,12,7,8,9,22,13,14,16,0,33,44,17,12,25,10,4,15,18,0,12,13,13,7,5,16,12,7,0,0,0,0,10,9,20,0,0,0,0,0,0,1,1
53632,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,2,9,0,11,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58731,0,0,0,0,0,0,0,0,28,20,3,0,28,0,0,9,0,0,0,7,0,15,0,0,8,3,6,13,0,0,0,18,0,0,0,0,0,0,19,0,0,0
63015,0,22,62,78,69,42,8,17,54,25,5,29,16,7,0,19,10,23,14,17,15,2,29,0,25,23,23,0,13,5,7,0,12,6,7,0,0,0,0,0,0,10
73019,0,0,0,0,5,0,97,18,17,39,1,3,54,9,0,0,19,47,0,55,32,0,4,1,51,1,0,3,0,1,33,45,0,0,0,0,2,0,3,0,0,0
73664,0,0,0,0,0,0,11,23,10,14,0,0,0,0,0,0,1,6,0,1,24,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83553,0,0,3,0,0,32,19,150,13,37,26,21,18,41,3,3,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96874,0,2,0,0,6,5,18,32,29,12,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101279,0,0,18,0,53,27,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104772,157,18,0,13,17,10,0,6,1,0,0,0,6,0,0,0,8,27,2,4,0,14,0,11,32,11,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106553,20,6,1,0,23,0,16,19,28,16,22,11,22,12,0,0,18,0,0,42,31,11,10,0,59,16,14,30,0,9,23,48,0,4,1,0,0,0,26,9,1,0
123957,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132511,0,3,1,27,62,14,40,21,7,89,5,40,18,1,1,1,7,14,8,21,6,1,1,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134920,40,0,29,10,6,2,35,9,10,14,0,1,0,23,2,0,0,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,8,2,0,0,0,0,5,0,0,0
138715,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
154073,3,15,0,19,41,62,8,24,0,71,6,3,15,1,0,0,0,1,0,9,2,0,0,1,6,2,0,0,1,0,8,13,2,0,0,0,0,1,1,28,0,0
162337,30,1,9,151,67,93,18,35,11,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169894,7,0,0,90,34,0,49,20,0,47,44,0,20,4,3,0,4,10,0,24,0,47,0,14,11,29,1,8,0,9,33,19,4,0,1,0,0,0,31,0,13,0
177781,0,2,15,0,0,17,35,102,10,42,29,0,31,33,0,0,1,0,0,0,10,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191732,3,0,0,0,0,0,44,4,0,23,0,0,6,26,0,0,0,0,0,4,0,1,0,0,31,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
203149,0,0,43,36,12,12,23,24,3,49,0,8,13,2,0,21,0,15,0,0,35,1,0,18,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226895,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233868,0,0,0,0,3,0,0,15,0,8,8,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240186,0,0,26,104,145,90,33,2,48,46,0,21,50,0,0,0,1,0,6,46,20,42,14,19,74,22,15,0,0,5,5,22,7,0,28,22,0,0,4,0,0,0
241066,0,0,0,15,36,0,19,43,0,0,35,60,0,6,0,0,0,0,2,15,1,0,0,2,12,3,0,0,4,7,0,40,3,0,0,0,0,0,53,0,0,0
249359,0,0,0,32,18,5,20,5,0,57,44,0,5,19,0,0,0,0,0,54,9,0,1,5,11,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0
253579,0,12,0,22,48,3,91,24,0,6,15,1,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267118,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
